zone,inclination,orientation,irradiance
1,15,90,818
1,15,95,809
1,15,100,799
1,15,105,789
1,15,110,780
1,15,115,770
1,15,120,761
1,15,125,753
1,15,130,745
1,15,135,737
1,15,140,730
1,15,145,724
1,15,150,718
1,15,155,713
1,15,160,709
1,15,165,707
1,15,170,704
1,15,175,703
1,16,0,929
1,16,5,929
1,16,10,927
1,16,15,925
1,16,20,922
1,16,25,919
1,16,30,914
1,16,35,909
1,16,40,903
1,16,45,897
1,16,50,890
1,16,55,882
1,16,60,874
1,16,65,866
1,16,70,856
1,16,75,847
1,16,80,837
1,16,85,827
1,16,90,817
1,16,95,807
1,16,100,796
1,16,105,786
1,16,110,776
1,16,115,766
1,16,120,757
1,16,125,747
1,16,130,739
1,16,135,731
1,16,140,723
1,16,145,716
1,16,150,711
1,16,155,706
1,16,160,702
1,16,165,698
1,16,170,697
1,16,175,695
1,17,0,934
1,17,5,933
1,17,10,932
1,17,15,930
1,17,20,927
1,17,25,923
1,17,30,918
1,17,35,913
1,17,40,907
1,17,45,900
1,17,50,893
1,17,55,885
1,17,60,876
1,17,65,867
1,17,70,857
1,17,75,848
1,17,80,837
1,17,85,827
1,17,90,816
1,17,95,805
1,17,100,794
1,17,105,783
1,17,110,773
1,17,115,762
1,17,120,752
1,17,125,742
1,17,130,733
1,17,135,724
1,17,140,716
1,17,145,709
1,17,150,703
1,17,155,698
1,17,160,694
1,17,165,691
1,17,170,688
1,17,175,687
1,18,0,938
1,18,5,938
1,18,10,936
1,18,15,934
1,18,20,931
1,18,25,927
1,18,30,922
1,18,35,917
1,18,40,910
1,18,45,903
1,18,50,895
1,18,55,887
1,18,60,878
1,18,65,868
1,18,70,858
1,18,75,848
1,18,80,837
1,18,85,826
1,18,90,815
1,18,95,803
1,18,100,792
1,18,105,780
1,18,110,769
1,18,115,758
1,18,120,747
1,18,125,737
1,18,130,727
1,18,135,718
1,18,140,710
1,18,145,702
1,18,150,696
1,18,155,690
1,18,160,686
1,18,165,683
1,18,170,680
1,18,175,679
1,19,0,943
1,19,5,942
1,19,10,941
1,19,15,938
1,19,20,935
1,19,25,931
1,19,30,926
1,19,35,920
1,19,40,913
1,19,45,906
1,19,50,898
1,19,55,889
1,19,60,879
1,19,65,870
1,19,70,859
1,19,75,848
1,19,80,837
1,19,85,825
1,19,90,813
1,19,95,802
1,19,100,790
1,19,105,777
1,19,110,766
1,19,115,754
1,19,120,742
1,19,125,732
1,19,130,721
1,19,135,712
1,19,140,703
1,19,145,695
1,19,150,688
1,19,155,683
1,19,160,678
1,19,165,675
1,19,170,672
1,19,175,671
1,20,0,947
